symbol,name,price,chg,pct_chg,volume_str,avg_volume_str,market_cap_str,pe_ratio,avg_volume,market_cap
AAPL,Apple Inc.,122.45,2.47,+2.06%,55.225M,111.885M,2.056T,33.21,111885000,2056000000000
MSFT,Microsoft Corporation,238.76,6.35,+2.73%,12.144M,29.813M,1.801T,35.60,29813000,1801000000000
AMZN,"Amazon.com, Inc.","3,127.97",70.33,+2.30%,1.488M,3.765M,1.575T,74.78,3765000,1575000000000
GOOGL,Alphabet Inc.,"2,102.24",66.05,+3.24%,"545,677",1.791M,1.424T,35.87,1791000,1424000000000
GOOG,Alphabet Inc.,"2,116.75",61.72,+3.00%,"570,109",1.601M,1.42T,36.11,1601000,1420000000000
TCTZF,Tencent Holdings Limited,88.96,4.52,+5.35%,"3,788","34,410",856.63B,,34410,856630000000
TCEHY,Tencent Holdings Limited,88.63,4.04,+4.78%,"951,605",3.093M,851.939B,65.41,3093000,851939000000
FB,"Facebook, Inc.",275.79,10.89,+4.11%,9.709M,19.485M,785.359B,27.33,19485000,785359000000
TSLA,"Tesla, Inc.",690.36,22.3,+3.34%,20.769M,40.345M,662.643B,"1,078.68",40345000,662643000000
BABA,Alibaba Group Holding Limited,240.63,6.33,+2.70%,8.947M,23.252M,655.76B,25.85,23252000,655760000000
BRK-B,Berkshire Hathaway Inc.,263.98,-0.01,-0.00%,2.829M,5.528M,608.252B,0.01,5528000,608252000000
TSM,Taiwan Semiconductor Manufacturing Company Limited,120.15,6.32,+5.55%,10.105M,12.396M,584.335B,53.88,12396000,584335000000
RLLCF,Rolls-Royce Holdings plc,0.0249,0.0038,+18.01%,18.589M,36.386M,542.837B,,36386000,542837000000
V,Visa Inc.,227.54,4.38,+1.96%,3.79M,9.582M,501.703B,46.97,9582000,501703000000
JPM,JPMorgan Chase & Co.,155.71,0.58,+0.37%,5.352M,14.257M,475.147B,17.53,14257000,475147000000
JNJ,Johnson & Johnson,160.35,1.21,+0.76%,2.568M,8.254M,421.522B,29.10,8254000,421522000000
MA,Mastercard Incorporated,387.85,6.15,+1.61%,1.629M,4.38M,385.275B,60.89,4380000,385275000000
